Orario,Lunedì,Martedì,Mercoledì,Giovedì ,Venerdì
8:00-9:00,"10606972 - DATA SCIENCE E DIRITTO
(bando)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]","1022263 - INTERAZIONE UOMO MACCHINA
(M. Mancini)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]","1041727 - AUTOMI CALCOLABILITÀ E COMPLESSITÀ
(Venturi)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]","1022264 - LINGUAGGI DI PROGRAMMAZIONE
(Cenciarelli)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]","1041727 - AUTOMI CALCOLABILITÀ E COMPLESSITÀ
(Venturi)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]"
9:00-10:00,,,,,
10:00-11:00,,"97597 - FISICA
(Germano)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]",,,
11:00-12:00,"1022264 - LINGUAGGI DI PROGRAMMAZIONE
(Cenciarelli)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]",,"10606972 - DATA SCIENCE E DIRITTO
(bando)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]","97597 - FISICA
(Germano)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]","10593235 |- PROGRAMMAZIONE DI SISTEMI EMBEDDED E MULTICORE 
(De Sensi)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]"
12:00-13:00,,,,,
13:00-14:00,"LUNCH SEMINAR
(Panizzi)",,,,
14:00-15:00,"1022301 - INGEGNERIA DEL SOFTWARE
(Tronci-T. Mancini)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]","10593235 - PROGRAMMAZIONE DI SISTEMI EMBEDDED E MULTICORE 
(De Sensi)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]","1022267 - PROGRAMMAZIONE PER IL WEB 
(bando)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]","1022267 - PROGRAMMAZIONE PER IL WEB 
(bando)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]","1022263 - INTERAZIONE UOMO MACCHINA
(M. Mancini)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]"
15:00-16:00,,,,,
16:00-17:00,,,,"1022301 - INGEGNERIA DEL SOFTWARE
(Tronci-T. Mancini)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]",
17:00-18:00,,,,,
18:00-19:00,,,,,
