Timetable,Monday,Tuesday,Wednesday,Thursday,Friday
8:00-9:00,,"10630016/1047622 - CRYPTOGRAPHY
(Venturi)
[Aula C - Città Univeritaria - CU035-E01PTEL011 ]","10626358/1047642 - SECURITY IN SOFTWARE APPLICATIONS
(bando)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]","10628736/10596281 - AUTONOMOUS NETWORKING
(Maselli)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]",
9:00-10:00,,,,,"10628736/10596281 - AUTONOMOUS NETWORKING
(Maselli)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]"
10:00-11:00,"10628280/1047640 - NETWORK ALGORITHMS
(Calamoneri)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]",,"10626968/1041792 - BIOMETRIC SYSTEMS
(De Marsico)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]",,
11:00-12:00,,"10627582/1047616 - COMPUTATIONAL COMPLEXITY
(Lauria)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]",,"10627537/10600495 - AUTOMATIC VERIFICATION OF INTELLIGENT SYSTEMS
(Tronci)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]","10630016/1047622 - CRYPTOGRAPHY
(Venturi)
[Aula 101 (Edificio D) - Viale Regina Elena 295 - RM112-E01P01L005]"
12:00-13:00,,,,,
13:00-14:00,"LUNCH SEMINAR
(Panizzi)","10626968/1041792 - BIOMETRIC SYSTEMS
(De Marsico)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]",,,
14:00-15:00,"10630015/1047617 - COMPUTER NETWORK PERFORMANCE
(Bartolini)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]",,"10630015/1047617 - COMPUTER NETWORK PERFORMANCE
(Bartolini)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]","10628280/1047640 - NETWORK ALGORITHMS
(Calamoneri)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]",
15:00-16:00,,,,,
16:00-17:00,,"10627535/10600490 - BLOCKCHAIN AND DISTRIBUTED LEDGER TECHNOLOGIES
(La Morgia)
[Aula 11 - Via Scarpa 14 - RM005-E01PTEL006]","10627582/1047616 - COMPUTATIONAL COMPLEXITY
(Lauria)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]",,"10626358/1047642 - SECURITY IN SOFTWARE APPLICATIONS
(bando)
[Aula 11 - Via Scarpa 14 - RM005-E01PTEL006]"
17:00-18:00,"10627537/10600495 - AUTOMATIC VERIFICATION OF INTELLIGENT SYSTEMS
(Tronci)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]",,,"10627535/10600490 - BLOCKCHAIN AND DISTRIBUTED LEDGER TECHNOLOGIES
(La Morgia)
[Aula 2L - Via Del Castro Laurenziano 7a - RM018-E01PTEL026]",
18:00-19:00,,,,,
