,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,,,,,,,,,,,
8:00-9:00,,,"Machine Learning
 Iocchi
Room 201 Regina Elena ",,"Robotics I
De Luca
Room 41 SPV",,,,,,,,,,,
9:00-10:00,,,"Machine Learning
 Iocchi
Room 201 Regina Elena ",,"Robotics I
De Luca
Room 41 SPV",,,,,,,,,,,
10:00-11:00,,,"Machine Learning
 Iocchi
Room 201 Regina Elena ","Robot Programming
Grisetti
Room 201 Regina Elena","Robotics I
De Luca
Room 41 SPV",,,,,,,,,,,
11.00-12:00,,,"Artificial intelligence
Bernardini
 Room 201 Regina Elena","Robot Programming
Grisetti
Room 201 Regina Elena","Robot Programming
Grisetti
Room 41 SPV",,,,,,,,,,,
12:00-13:00,,,"Artificial intelligence
Bernardini
 Room 201 Regina Elena","Robot Programming
Grisetti
Room 201 Regina Elena","Robot Programming
Grisetti
Room 41 SPV",,,,,,,,,,,
13:00-14:00,,"Machine Learning
 Iocchi
Room 41 SPV","Artificial intelligence
Bernardini
 Room 201 Regina Elena",,,,,,,,,,,,,
14:00-15:00,,"Machine Learning
 Iocchi
Room 41 SPV",,,,,,,,,,,,,,
15:00-16:00,,"Machine Learning
 Iocchi
Room 41 SPV",,,,,,,,,,,,,,
16:00-17:00,,"Robotics I
De Luca
Room 41 SPV",,,,,,,,,,,,,,
17:00-18:00,,"Robotics I
De Luca
Room 41 SPV",,,,,,,,,,,,,,
18:00-19:00,,"Artificial intelligence
Bernardini
 Room 41 SPV",,,,,,,,,,,,,,
19:00-20:00,,"Artificial intelligence
Bernardini
 Room 41 SPV",,,,,,,,,,,,,,
