,LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI
8:00-9:00,"Elective in Artifical Intelligence
Di Giammarino - Napoli
Room B2 DIAG",,"Elective in Artifical Intelligence
Di Giammarino - Napoli
Room B2 DIAG","Autonomous and 
Mobile Robotics
Oriolo
Room B2 DIAG","Network Infrastructures
Cuomo-Polverini
Room 101 Regina Elena "
,,,,,"Reinforcement Learning
Capobianco
Room 201 Regina Elena "
9:00-10:00,"Elective in Artifical Intelligence
Di Giammarino - Napoli
Room B2 DIAG",,"Elective in Artifical Intelligence
Di Giammarino - Napoli
Room B2 DIAG","Autonomous and 
Mobile Robotics
Oriolo
Room B2 DIAG","Network Infrastructures
Cuomo-Polverini
Room 101 Regina Elena "
,,,,,"Reinforcement Learning
Capobianco
Room 201 Regina Elena "
10:00-11:00,"Network Infrastructures
Cuomo-Polverini
Room 201 Regina Elena","Reinforcement Learning
Capobianco
Room B2 DIAG","Elective in Artifical Intelligence
Di Giammarino - Napoli
Room B2 DIAG","Autonomous and 
Mobile Robotics
Oriolo
Room B2 DIAG","Network Infrastructures
Cuomo-Polverini
Room 101 Regina Elena  "
,"Autonomous and 
Mobile Robotics
Oriolo
Room B2 DIAG",,,,"Reinforcement Learning
Capobianco
Room 201 Regina Elena "
11.00-12:00,"Network Infrastructures
Cuomo-Polverini
Room 201 Regina Elena ","Reinforcement Learning
Capobianco
Room B2 DIAG",,,
,"Autonomous and 
Mobile Robotics
Oriolo
Room B2 DIAG",,,,
12:00-13:00,"Planning and reasoning
Marrella
Room A4 DIAG ",,,,"Neural networks
Comminiello-Scardapane
Room A3 DIAG "
13:00-14:00,"Planning and reasoning
Marrella
Room A4 DIAG ","Neural networks
Comminiello-Scardapane
Room A3 DIAG ","Planning and reasoning
Marrella
Room A3 DIAG ",,"Neural networks
Comminiello-Scardapane
Room A3 DIAG "
14:00-15:00,,"Neural networks
Comminiello-Scardapane
Room A3 DIAG  ","Planning and reasoning
Marrella
Room A3 DIAG ","Elective in Robotics - I
  Vendittelli - Lanari
Room B2 DIAG","Neuroengineering 
Cincotti- Astolfi
Room B2 DIAG"
15:00-16:00,"Neuroengineering 
Cincotti- Astolfi
Room B2 DIAG","Neural networks
Comminiello-Scardapane
Room A3 DIAG  ","Planning and reasoning
Marrella
Room A3 DIAG ","Elective in Robotics - I
  Vendittelli - Lanari
Room B2 DIAG","Neuroengineering 
Cincotti- Astolfi
Room B2 DIAG"
16:00-17:00,"Neuroengineering 
Cincotti- Astolfi
Room B2 DIAG","Elective in Robotics - I
  Vendittelli - Lanari
Room B2 DIAG",,,
17:00-18:00,"Neuroengineering 
Cincotti- Astolfi
Room B2 DIAG","Elective in Robotics - I
  Vendittelli - Lanari
Room B2 DIAG",,,
18:00-19:00,,"Elective in Robotics - I
  Vendittelli - Lanari
Room B2 DIAG",,,
19:00-20:00,,,,,
