Timetable,Monday,Tuesday,Wednesday,Thursday,Friday,
8:00-9:00,"10626703 - COMPUTER SYSTEMS AND PROGRAMMING
(bando)
[Aula 201 (Edificio D) - Viale Regina Elena 295 - RM112-E01P02L005]","10630016/1047622 - CRYPTOGRAPHY
(Venturi)
[Aula 3L - Via Del Castro Laurenziano 7a - RM018-E01PTEL025]","10626358/1047642 - SECURITY IN SOFTWARE APPLICATIONS
(bando)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]",,"10626272 - NETWORK INFRASTRUCTURES
(Polverini-Cuomo)
[Aula C - Città Univeritaria - CU035-E01PTEL011 ]",
9:00-10:00,,,,,,
10:00-11:00,"10626272 - NETWORK INFRASTRUCTURES
(Polverini-Cuomo)
[Aula 201 (Edificio D) - Viale Regina Elena 295 - RM112-E01P02L005]",,"10626968/1041792 - BIOMETRIC SYSTEMS
(De Marsico)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]",,,
11:00-12:00,,,,,,
12:00-13:00,,,,,,
13:00-14:00,,"10626968/1041792 - BIOMETRIC SYSTEMS
(De Marsico)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]",,,"10626358/1047642 - SECURITY IN SOFTWARE APPLICATIONS
(bando)
[Aula G50 (Edificio G) - Viale Regina Elena 295 - RM115-E01P03L001]",
14:00-15:00,,,"10626703 - COMPUTER SYSTEMS AND PROGRAMMING
(bando)
[Aula 2L - Via Del Castro Laurenziano 7a - RM018-E01PTEL026]","10628637 - STATISTICS
(Gastaldi)
[(Aula Informatica XI ex Tumminelli - CU007-E01P01L034] 
",,
15:00-16:00,,,,,,
16:00-17:00,"10626055 - DISTRIBUTED SYSTEMS
(Di Luna)
[Aula 15 - Città Univeritaria - CU035-E01PTEL012 ]",,,,"10630016/1047622 - CRYPTOGRAPHY
(Venturi)
[Aula 11 - Via Scarpa 14 - RM005-E01PTEL006]",
17:00-18:00,,,"10626055 - DISTRIBUTED SYSTEMS
(Di Luna)
[Aula Magna (Edificio C) - Viale Regina Elena 295 - RM111-E01PTEL001]",,,
18:00-19:00,,,,,,
19:00-20:00,,,,,,
