Timetable,Monday ,Tuesday ,Wednesday ,Thursday ,Friday 
8:00-9:00,,,,,10621178 - FUNDAMENTALS OF STATISTICAL LEARNING                                              (Brutti)                                                                                         AULA 2L - RM018 -                                   Via Castro Laurenziano 7a
9:00-10:00,,,"10621178 - FUNDAMENTALS OF STATISTICAL LEARNING (Brutti) 
[Aula C - Città Univeritaria - CU035-E01PTEL011 ]","10621178 - FUNDAMENTALS OF STATISTICAL LEARNING                                      (Brutti)                                                                                                                 [Aula Informatica 15- 
Via Tiburtina 205]",
10:00-11:00,1047224 - FUNDAMENTALS OF DATA SCIENCE (Spinelli/Cinelli)                                                                                        AULA 2L -  RM018 -                                   Via Castro Laurenziano 7a,,,,
11:00-12:00,,,,,1047224 - FUNDAMENTALS OF DATA SCIENCE (Spinelli/Cinelli)                                                                                        AULA 2L -  RM018 -                                   Via Castro Laurenziano 7a
12:00-13:00,,,,,
13:00-14:00,,,,,
14:00-15:00,1047221 - ALGORITHMIC METHODS OF DATA MINING AND LABORATORY (Anagnostopoulos/Becchetti)                                                                                         AULA 2L -  RM018 -                                   Via Castro Laurenziano 7a,,,1047221 - ALGORITHMIC METHODS OF DATA MINING AND LABORATORY (Anagnostopoulos/Becchetti)                                                                                                                Aula 101 D - RM112 - Viale Regina Elena 295,
15:00-16:00,,"1047221 - ALGORITHMIC METHODS OF DATA MINING AND LABORATORY (Anagnostopoulos/Becchetti) [Aula Informatica 17 - 
Via Tiburtina 205]",,,
16:00-17:00,,,,"1047224 - FUNDAMENTALS OF DATA SCIENCE (Spinelli/Cinelli) [Aula Informatica 15 - 
Via Tiburtina 205]",
17:00-18:00,,,,,
18:00-19:00,,,,,
