Timetable,Monday ,Tuesday ,Wednesday ,Thursday ,Friday 
8:00-9:00,,10593053 - DIGITAL EPIDEMIOLOGY AND PRECISION MEDICINE     (Petti)                                                                    Aule A2 - RM102 - Via Ariosto,,,
9:00-10:00,10610252 - SIGNAL PROCESSING FOR MACHINE LEARNING (Barbarossa/Di Lorenzo)                                                                          Aule A2 - RM102 - Via Ariosto,,10593052 - BIOINFORMATICS AND NETWORK MEDICINE   (Petti)                                                                      Aule A2 - RM102 - Via Ariosto,10589627 - NEURAL NETWORKS FOR DATA SCIENCE APPLICATIONS                                                                         (Scardapane)                                                                         Aule A5 / A6 - RM102 - Via Ariosto,10589627 - NEURAL NETWORKS FOR DATA SCIENCE APPLICATIONS                                                                         (Scardapane)                                                                         Aule A5 / A6 - RM102 - Via Ariosto
10:00-11:00,,10593052 - BIOINFORMATICS AND NETWORK MEDICINE   (Petti)                                                                      Aule A2 - RM102 - Via Ariosto,,,
11:00-12:00,,,,,10621190 - NETWORK SCIENCE COMPLEX SYSTEMS                                                                           (Quattrociocchi)                                                                         Aule A4 - RM102 - Via Ariosto
12:00-13:00,10589621 - ADVANCED MACHINE LEARNING AND COMPUTER VISION (Galasso)                                                                           Aula B2 - RM102 - Via Ariosto,10621190 - NETWORK SCIENCE COMPLEX SYSTEMS                                                                           (Quattrociocchi)                                                                         Aule A4 - RM102 - Via Ariosto,,1044406 - BIG DATA COMPUTING (Becchetti/Anagnostopoulos)                                                                         Aule A5 / A6 - RM102 - Via Ariosto,
13:00-14:00,,,,,
14:00-15:00,,1047214 - DATA PRIVACY AND SECURITY                                            (Venturi)                                                        Aule A2 - RM102 - Via Ariosto,10593053 - DIGITAL EPIDEMIOLOGY AND PRECISION MEDICINE     (Petti)                                                                    Aule A2 - RM102 - Via Ariosto,1047214 - DATA PRIVACY AND SECURITY                                            (Venturi)                                                        Aule A2 - RM102 - Via Ariosto,10610252 - SIGNAL PROCESSING FOR MACHINE LEARNING (Barbarossa/Di Lorenzo)                                                                          Aule A2 - RM102 - Via Ariosto
15:00-16:00,,,,,
16:00-17:00,1044406 - BIG DATA COMPUTING (Becchetti/Anagnostopoulos)                                                                         Aule A5 / A6 - RM102 - Via Ariosto,,,1056085 - BIG DATA FOR OFFICIAL STATISTICS                                           (Maggino)                                                        Aule A2 - RM102 - Via Ariosto,10589621 - ADVANCED MACHINE LEARNING AND COMPUTER VISION (Galasso)                                                                           Aule B2 - RM102 - Via Ariosto
17:00-18:00,,1056085 - BIG DATA FOR OFFICIAL STATISTICS                                           (Maggino)                                                        Aule A2 - RM102 - Via Ariosto,,,
18:00-19:00,,,,,
